"name","address","city","state","zip_code","program_code","lat","lng","fips_county"
"Sandhills Children's Center","1280 Central Drive","Southern Pines","NC","28387","DAY CARE",35.210203,-79.392258,37125
"Pinebluff United Methodist Men","US #1, Walnut Street","Pinebluff","NC","28373","FOODPANTRY",35.108444,-79.472802,37125
"Gethsemane 7th Day","2525 Sanderford Road","Raleigh","NC","27610","FOODPANTRY",35.744892,-78.613885,37183
"Coastal Women's Shelter","Confidential","New Bern","NC",NA,"SHELTER",NA,NA,NA
"Orange Congregations Mission","300 Millstone Drive","Hillsborough","NC","27278","FOODPANTRY",36.050792,-79.098814,37135
"Salvation Army/Wilson","316 S. Tarboro Street","Wilson","NC","27893","FOODPANTRY",35.727598,-77.908344,37195
"Dorcas Ministries -","187 High House Rd","Cary","NC","27511","FOODPANTRY",35.783357,-78.798666,37183
"Hillview Christian Assembly","3217 Lemon Springs Road","Sanford","NC","27330","FOODPANTRY",35.485386,-79.221276,37105
"Emmaus House/Raleigh","10 N. East Street","Raleigh","NC","27601","GROUP HOME",35.780255,-78.632179,37183
"Ayden Christian Care Center","4106 B. West Avenue","Ayden","NC","28513","FOODPANTRY",34.725974,-76.738388,37031
"Apostolic Deliverance","422 E. North Street","Kinston","NC","28501","FOODPANTRY",35.262383,-77.576827,37107
"TROSA","1820 James Street","Durham","NC","27707","GROUP HOME",35.978536,-78.92626,37063
"Brooks Ave. Church Of Christ","700 Brooks Avenue","Raleigh","NC","27607","FOODPANTRY",35.79641,-78.672658,37183
"Christian Faith Center","101 Peachtree Street","Creedmoor","NC","27522","FOODPANTRY",36.118007,-78.677307,37077
"Salvation Army-Rocky Mount","420 Paul Street","Rocky Mount","NC","27802","FOODPANTRY",35.928899,-77.806581,37127
"Martha's Mission Cupboard","901 Bay Street","Morehead City","NC","28557","FOODPANTRY",34.724052,-76.713745,37031
"Sandhills - Moore Coalition","1500 West Indiana Ave","Southern Pines","NC","28387","FOODPANTRY",35.186101,-79.409114,37125
"S.A.F.E. Lenoir County","confidential","Kinston","NC",NA,"SHELTER",NA,NA,NA
"Graham Ave. Group Home","1642 Graham Avenue","Henderson","NC","27536","GROUP HOME",36.326546,-78.441209,37181
"Vance-Adult Group Home","941 Hwy. 158 BYP","Henderson","NC","27536","GROUP HOME",36.336501,-78.451535,37181
"Roanoke Ave. Group Home","264 S. Beckford Drive","Henderson","NC","27536","GROUP HOME",36.337526,-78.414365,37181
"Warren County Group Home","109 Mustian Road","Warrenton","NC","27589","GROUP HOME",36.416369,-78.218084,37185
"Franklin County Group Home","663 Moulton Road","Louisburg","NC","27549","GROUP HOME",36.148906,-78.279567,37069
"Oxford Group Home","605 N. Country Club Drive","Oxford","NC","27565","GROUP HOME",36.317163,-78.607168,37077
"Cameron Boys' Camp / Baptist","255 Cameron Camp Rd.","Cameron","NC","28326","GROUP HOME",35.285136,-79.223249,37125
"Wallace Church of God","1173 Bay Road","Teachey","NC","28464","FOODPANTRY",34.78201,-77.995109,37061
"Passage Home/Matthew House","1513 Branch Street","Raleigh","NC","27601","OTHER",35.763542,-78.639787,37183
"Harvest House/TCCHC","1480 Maple Grove Church Road","Dunn","NC","28334","GROUP HOME",35.240385,-78.450559,37085
"Church of God of Prophecy/","628 Scott Avenue","Sanford","NC","27330","DAY CARE",35.482233,-79.158532,37105
"Church of God of Prophecy-","900 Simmons Street","Durham","NC","27701","FOODPANTRY",35.981908,-78.894151,37063
"Resources For Seniors/NWSC","235 E. Holding Avenue","Wake Forest","NC","27591","ELDERLY NU",35.779063,-78.373694,37183
"Robbins Area Christian","120 S. Middleton Street","Robbins","NC","27325","FOODPANTRY",35.433732,-79.58729,37125
"First Assembly of God Church","3000 Summit Road","Goldsboro","NC","27534-8701","FOODPANTRY",35.371921,-77.933598,37191
"Christian Life Home","Confidential","","NC","","GROUP HOME",NA,NA,NA
"New Zion Ame Zion Church","4967 Highway 705","Robbins","NC","27325","FOODPANTRY",35.454261,-79.603404,37125
"Chatham Out-Reach Alliance","40 Camp Dr.","Pittsboro","NC","27312","FOODPANTRY",35.72436,-79.186719,37037
"New Jerusalem Pentecostal","305 Madison Street","Rocky Mount","NC","27802","FOODPANTRY",35.941563,-77.789249,37065
"Bread Basket/Sanford Soup","140 East Chisholm Street","Sanford","NC","27331","SOUP KITCH",35.48607,-79.177905,37105
"Mt. Zion UCC/Rockingham","986 Ledbetter Road","Rockingham","NC","28379","FOODPANTRY",35.002881,-79.688643,37153
"Christian Assembly Emergency","5516 N. Roxboro Road","Durham","NC","27713","FOODPANTRY",35.927259,-78.951652,37063
"Kennedy Baptist Children's","2557 Cedar Dell Lane","Kinston","NC","28504","GROUP HOME",35.255291,-77.694694,37107
"Chatham County Group Homes 1","320 Martin Luther King Blvd.","Siler City","NC","27344","GROUP HOME",35.728189,-79.462308,37037
"First Calvary Baptist Church","1311 Morehead Ave.","Durham","NC","27707","FOODPANTRY",35.991806,-78.918909,37063
"Flynn Home Of Goldsboro","409 North George St.","Goldsboro","NC","27530","GROUP HOME",35.388068,-77.998557,37191
"Fellowship Home","506 Cutler Street","Raleigh","NC","27603","GROUP HOME",35.774447,-78.652191,37183
"Montgomery Churches in Action/","203 Church St.","Biscoe","NC","27209","FOODPANTRY",35.358604,-79.7789,37123
"Russell Memorial CME Church","703 S. Alston Avenue","Durham","NC","27701","FOODPANTRY",35.980184,-78.891357,37063
"Mt. Zion Christian Church","3519 Fayetteville Street","Durham","NC","27707","FOODPANTRY",35.977922,-78.90043,37063
"Belton Creek Baptist Church","4153 Hwy 96 South","Oxford","NC","27565","FOODPANTRY",36.404618,-78.685721,37077
"Ministries The Bread Of Life -","925 Tyson Chapel Road","Farmville","NC","27828","FOODPANTRY",35.541573,-77.619474,37147
"Church Of God Of Prophecy","5005 Western Blvd.","Raleigh","NC","27606","FOODPANTRY",35.786498,-78.709263,37183
"Big Ruin Creek Baptist","16 Big Ruin Creek Lane","Henderson","NC","27536","FOODPANTRY",36.316137,-78.456654,37181
"First Pentecostal Church","2008 W. Carver Street","Durham","NC","27705","FOODPANTRY",36.040191,-78.916747,37063
"Greater Pentecostal F.D.","414 Rose Lane","Raleigh","NC","27610","FOODPANTRY",35.771001,-78.598497,37183
"Habakkuk Outreach Center/","304 East Barbee Ave","Zebulon","NC","27597","FOODPANTRY",35.821349,-78.308693,37183
"FirstHealth Hospice","251 Camp Ground Road","West End","NC","28374","OTHER",34.981252,-79.05726,37051
"Freedom House","104 New Stateside Drive","Chapel Hill","NC","27516","GROUP HOME",35.955719,-79.060214,37135
"Port Human Services","204 N. Pine Street","Aberdeen","NC","28315","GROUP HOME",35.131834,-79.424686,37125
"Salvation Army-New Bern","1402 Rhem Avenue","New Bern","NC","28560","FOODPANTRY",35.106342,-77.057168,37049
"Elmore Blackley Fellowship","110 South Layton Avenue","Dunn","NC","28334","GROUP HOME",35.310064,-78.613668,37085
"Haven House (Wrenn)","908 W. Morgan St.","Raleigh","NC","27603","SHELTER",35.78139,-78.655585,37183
"Alliance of AIDS Services","1637 Old Louisburg Rd","Raleigh","NC","27604","FOODPANTRY",35.80269,-78.623429,37183
"Calvary Baptist Church/","1204 Lynn Road","Durham","NC","27703","FOODPANTRY",35.969972,-78.849194,37063
"Friend to Friend","CONFIDENTIAL","","NC","","SHELTER",NA,NA,NA
"Poplar Springs Christian","6115 Old Stage Road","Raleigh","NC","27603","FOODPANTRY",35.696061,-78.653074,37183
"West End United Methodist","4105 NC Hwy 73","West End","NC","27376","FOODPANTRY",35.24001,-79.567191,37125
"The Worship Center","150 Eastman Road","Southern Pines","NC","28387","FOODPANTRY",35.190766,-79.408318,37125
"Chapel of Jesus Christ","2295 North Horace Walter Rd","Raeford","NC","28376","DAY CARE",35.000312,-79.359461,37093
"Fountain of Hope","900 Wilkins Street","Rocky Mount","NC","27803","FOODPANTRY",35.927101,-77.819582,37127
"Potter's Wheel Ministries","147 Faith Lane","Mt. Olive","NC","28365","GROUP HOME",35.072602,-77.919863,37191
"Islamic Association of Raleigh","3020 Ligon St","Raleigh","NC","27607","FOODPANTRY",35.789188,-78.691146,37183
"Alston Chapel United Holy Ch","2012 Alston Chapel Road","Pittsboro","NC","27312","FOODPANTRY",35.708409,-79.224276,37037
"Friends of Orange County DSS","113 Mayo Street","Hillsborough","NC","27278","OTHER",36.062,-79.105359,37135
"Bethesda Presbyterian Church","1002 N. Sandhills Boulevard","Aberdeen","NC","28315","FOODPANTRY",35.143192,-79.422891,37125
"Resources For Seniors/","323 Lake Drive","Wendell","NC","27591","ELDERLY NU",35.778599,-78.365345,37183
"Resources For Seniors/","1210 Dixie Trail","Raleigh","NC","27607","ELDERLY NU",35.803692,-78.676874,37183
"Apostolic Faith Church","300 Cedar Street","Rocky Mount","NC","27803","FOODPANTRY",35.91872,-77.808638,37127
"Chatham County Group Homes 2","1011 West Fifth Street","Siler City","NC","27344","GROUP HOME",35.722023,-79.477635,37037
"Southern Mission Ministries","267 Blues Bridge Rd","Hoffman","NC","28347","FOODPANTRY",35.030411,-79.540775,37153
"Outreach for Jesus","440 Battley Dairy Road","Hamlet","NC","28345","FOODPANTRY",34.876764,-79.740369,37153
"CAARE, Inc.","214 Broadway Street","Durham","NC","27701","FOODPANTRY",36.000862,-78.898031,37063
"Cotton Memorial Presbyterian","511 N. Chestnut Street","Henderson","NC","27536","FOODPANTRY",36.331311,-78.40102,37181
"Housing for New Hope","1406 Holloway Street","Durham","NC","27703","GROUP HOME",35.995875,-78.897983,37063
"Immanuel Temple SDA Church -","2102 S Alston Avenue","Durham","NC","27701","SOUP KITCH",35.973822,-78.893912,37063
"Glad Tidings Gospel Church","4422 301 South","Wilson","NC","27893","FOODPANTRY",35.722437,-77.911987,37195
"Calvary Temple Holy Church","215 Kitchen Avenue","Henderson","NC","27536","FOODPANTRY",36.344814,-78.394764,37181
"Southlight Supervised","1822 Gorman St. Apt D","Raleigh","NC","27610","OTHER",35.763508,-78.607179,37183
"First Baptist Church","119 S. Main Street","Creedmoor","NC","27522","FOODPANTRY",36.116573,-78.686981,37077
"New Life Praise Church","2398 Wicker Street","Sanford","NC","27330","FOODPANTRY",35.470469,-79.200295,37105
"Adopted Agencies/Food Bank NC","","","NC","","OTHER",NA,NA,NA
"Chatham County Group Homes 3","813 Tanglewood Drive","Siler City","NC","27344","GROUP HOME",35.731307,-79.476913,37037
"Recruiters for Christ Church","931 Red Hill Church Road","Dunn","NC","28334","FOODPANTRY",35.337985,-78.649007,37085
"Inter-Community Council-","600 Tucker St.","Raleigh","NC","27603","OTHER",35.786268,-78.647266,37183
"Mt. Zion Christian Church/","995 Burr Street","Henderson","NC","27536","FOODPANTRY",36.336083,-78.391916,37181
"Antioch United Holy Church","2659 Railroad Street","Bell Arthur","NC","27811","FOODPANTRY",35.58965,-77.514537,37147
"The Ship Outreach & Comm Cntr/","105 E. Lee St.","Raleigh","NC","27603","FOODPANTRY",35.767215,-78.638418,37183
"Salvation Army Boys&Girls Club","810 N. Alston Ave.","Durham","NC","27702","AFTER SCH",35.992817,-78.88595,37063
"The Wright's Center, Inc.","513 West Raleigh Road","Rocky Mount","NC","27803","ELDERLY NU",35.935364,-77.805897,37127
"New Life Community Church","3115 Crittenden Lane","Holly Springs","NC","27540","FOODPANTRY",35.681902,-78.833282,37183
"Victorious Community","2116 Page Road","Durham","NC","27703","FOODPANTRY",35.934327,-78.821387,37063
"Pee Dee Baptist Association","Village PLaza Hwy 74E","Rockingham","NC","28380","FOODPANTRY",34.934529,-79.771448,37153
"Youth Life Learning Center","2519 S. Roxboro St#9","DURHAM","NC","27707","AFTER SCH",35.966547,-78.916789,37063
"Orange Co Head Start/Early HS","800 Eastowne Dr., Suite 105","Chapel Hill","NC","27514","DAY CARE",35.951465,-79.005343,37135
"Occoneechee Council/BSA-","4637 Old Carthage Rd.","Carthage","NC","28327","SEASONAL",35.352009,-79.573871,37125
"Durham Rescue Mission's","507 E. Knox St.","Durham","NC","27701","SHELTER",36.012479,-78.886772,37063
"Positive Directions-","Jacksontown Road","Manson","NC","27553","FOODPANTRY",36.409092,-78.327375,37185
"Word of Life Christian Center","704 Franklin Street","Roxboro","NC","27573","FOODPANTRY",36.383682,-78.992998,37145
"Community Helpers Services","111-B N. First St.","Knightdale","NC","27545","FOODPANTRY",35.787766,-78.481499,37183
"Warren Street Group Home/","200 Warren Street","Warrenton","NC","27589","GROUP HOME",36.40471,-78.153635,37185
"Loaves and Fishes Ministries","538 West Ridgeway Street","Warrenton","NC","27589","FOODPANTRY",36.405985,-78.163003,37185
"Kings Gate International","158 Sierra Ave.","Hamlet","NC","28345","FOODPANTRY",34.910757,-79.71886,37153
"Haw River Baptist Church","1099 Mt. Gilead Church Road","Pittsboro","NC","27312","FOODPANTRY",35.752744,-79.086161,37037
"Urban Ministries of Durham --","410 Liberty Street","Durham","NC","27701","SOUP KITCH",35.993479,-78.895467,37063
"William Hawkins Yth Ministries","500 N Beckford Dr.","Henderson","NC","27536","AFTER SCH",36.337358,-78.403154,37181
"White Oak Ecumenical","724 West Corbett Avenue","Swansboro","NC","28584","FOODPANTRY",34.693973,-77.131462,37133
"Restoring Hope Center","507 Warren Street","Laurinburg","NC","28352","FOODPANTRY",34.789214,-79.450026,37165
"New Foundations Group Home","199 W. Washington St.","Bethel","NC","27812","GROUP HOME",35.806582,-77.377139,37147
"Onslow Community Ministries","600 Court Street","Jacksonville","NC","28540","SOUP KITCH",34.749939,-77.431305,37133
"Onslow Community Ministries","600 Court Street","Jacksonville","NC","28540","SHELTER",34.749939,-77.431305,37133
"Pete Norris Ministries Inc.","126 W. Walnut Street"," Goldsboro","NC","27533","FOODPANTRY",35.383153,-77.997602,37191
"Abundant Life Miracle Center","1901 Garden Street","New Bern","NC","28560","MOBILE FP",35.119067,-77.05863,37049
"Abundant Life Miracle Center","1303 Beaufort Street","New Bern","NC","28560","FOODPANTRY",35.119535,-77.059078,37049
"Kings Church International","158 Sierra Avenue","Hamlet","NC","28345","SENIOR ON",34.910757,-79.71886,37153
"Body of Christ Ministry","6081 Lemon Springs Road","Sanford","NC","27330","FOODPANTRY",35.485386,-79.221276,37105
"Urban Ministries Food Pantry","410 Liberty Street","Durham","NC","27701","FOODPANTRY",35.993479,-78.895467,37063
"DD-Pentecostal Victory Temple","18074 Highway 64 West","Siler City","NC","27344","FOODPANTRY",35.733959,-79.495459,37037
"Pentecostal Victory Temple","18074 Highway 64 West","Siler City","NC","27344","OTHER",35.733959,-79.495459,37037
"White Oak Ecuminical Outreach","724 West Corbett Avenue","Swansboro","NC","28584","MOBILE FP",34.693973,-77.131462,37133
"Christian Mission Center","703 Monroe Street","Carthage","NC","28327","FOODPANTRY",35.341279,-79.408718,37125
"Christian Mission Center","703 Monroe Street","Carthage","NC","28327","OTHER",35.341279,-79.408718,37125
"Bread of Life/Grifton","406 Cannon Blvd.","Grifton","NC","28530","FOODPANTRY",35.373406,-77.430184,37147
"Bread of Life/Grifton","406 Cannon Blvd.","Grifton","NC","28530","MOBILE FP",35.373406,-77.430184,37147
"Living Bread Holiness Church","1116 Glenburnie Road","New Bern","NC","28561","MOBILE FP",35.136723,-77.062742,37049
"God's City of Refuge, Inc.","953 Hibbs Road","Newport","NC","28570-1838","MOBILE FP",34.749455,-76.878284,37031
"The Anointed Ones Church","4271 N. Edge Road","Ayden","NC","28513","MOBILE FP",35.468232,-77.407662,37147
"The Anointed Ones Church","4271 N. Edge Road","Ayden","NC","28513","FOODPANTRY",35.468232,-77.407662,37147
"Hands for Humanity CDC","1009 E. Bright Street","Kinston","NC","28501","FOODPANTRY",35.257061,-77.567243,37107
"Hands for Humanity CDC","1009 E. Bright Street","Kinston","NC","28501","MOBILE FP",35.257061,-77.567243,37107
"Saints Delight Church of God","327 Crawford Street","Bethel","NC","27812","FOODPANTRY",35.802557,-77.378045,37147
"Antioch United Holy Church","2659 Railroad Street","Bell Arthur","NC","27811","AFTER SCH",35.58965,-77.514537,37147
"Antioch United Holy Church","2659 Railroad Street","Bell Arthur","NC","27811","DAY CARE",35.58965,-77.514537,37147
"Antioch United Holy Church","2659 Railroad Street","Bell Arthur","NC","27811","MOBILE FP",35.58965,-77.514537,37147
"Koinonia Christian Center","1405 SW Greenville BLVD.","Greenville","NC","27835","MOBILE FP",35.574726,-77.418973,37147
"Koinonia Christian Center","1405 SW Greenville Blvd.","Greenville","NC","27835","FOODPANTRY",35.574726,-77.418973,37147
"Oak Grove UAFree Will Baptist","1008A Simmons St.","Durham","NC","27701","FOODPANTRY",35.981717,-78.893099,37063
"Alpha and Omega Church","410 E. Washington St.","Kinston","NC","28501","MOBILE FP",35.266196,-77.566876,37107
"Alpha and Omega Church","401 E. Washington St.","Kinston","NC","28501","FOODPANTRY",35.266196,-77.566876,37107
"Trinity United Faith Center","110 S. State Street","Raleigh","NC","27601","FOODPANTRY",35.778694,-78.623669,37183
"Richmond County Enrichment","809 Armistead Street","Rockingham","NC","28379","DIRECT DST",34.937411,-79.763472,37153
"Straightway Church","627 Boulevard Street","Ayden","NC","28513","FOODPANTRY",35.469302,-77.410249,37147
"Straightway Church","627 Boulevard Street","Ayden","NC","28513","AFTER SCH",35.469302,-77.410249,37147
"Word of Life International","1600 Howard Avenue, Suite 2","Tarboro","NC","27886","FOODPANTRY",35.902718,-77.552297,37065
"Word of Life International","1600 Howard Avenue, Suite 2","Tarboro","NC","27886","MOBILE FP",35.902718,-77.552297,37065
"Onslow Community Ministries","600 Court Street","Jacksonville","NC","28540","FOODPANTRY",34.749939,-77.431305,37133
"The Women's Center of Wake Co.","112 Cox Ave.","Raleigh","NC","27605","FOODPANTRY",35.785163,-78.66067,37183
"The Women's Center of Wake Co.","112 Cox Ave.","Raleigh","NC","27601","SHELTER",35.781006,-78.62809,37183
"Cary Church of God","107 Quade Drive","Cary","NC","27511","FOODPANTRY",35.817783,-78.802249,37183
"Missions Ministries","1200 S. Caledonia Road","Laurinburg","NC","28352","FOODPANTRY",34.760867,-79.459003,37165
"Haven House (Outreach Center)","832 Wake Forest Rd","Raleigh","NC","27604","FOODPANTRY",35.791228,-78.633454,37183
"House of Prayer/Feed My People","335 Earl Franklin Drive","Hamlet","NC","28345","FOODPANTRY",34.906641,-79.688447,37153
"Shiloh Christian","PO Box 1766","Smithfield","NC","27577-1766","FOODPANTRY",NA,NA,NA
"Shiloh Christian","211 Durham Street","Smithfield","NC","27577","SOUP KITCH",35.505669,-78.335972,37101
"First Born Comm.","Chicod Street","Grimesland","NC","27837","FOODPANTRY",35.564678,-77.191187,37147
"Friends of Orange County DSS","306 E. Revere Road","Hillsborough","NC","27278","OTHER",36.082972,-79.105873,37135
"Friends of Orange County DSS/","300 W. Tryon Street","Hillsborough","NC","27278","FOODPANTRY",36.077014,-79.105488,37135
"Friends of Orange County DSS/","300 W. Tryon St.","Hillsborough","NC","27278","FOODPANTRY",36.077014,-79.105488,37135
"Friends of Orange County DSS","Cedar Grove Northern Center","Cedar Grove","NC","27278","OTHER",36.082828,-79.104421,37135
"CAARE, Inc.","214 Broadway St.","Durham","NC","27701","SENIOR OFF",36.000862,-78.898031,37063
"Ephesus SDA Church","1217 N. Pasteur Street","New Bern","NC","28560","FOODPANTRY",35.118776,-77.046136,37049
"Christian Faith Ministries","3110 Cameron Dr.","Sanford","NC","27330","FOODPANTRY",35.443837,-79.145964,37105
"Christian Faith Ministries","507 South Third St.","Sanford","NC","27330","SHELTER",35.477025,-79.17027,37105
"Christian Faith Ministries","705 Chatham St.","Sanford","NC","27330","SHELTER",35.474183,-79.1711,37105
"Christian Faith Ministries","705 Chatham St.","Sanford","NC","27330","SOUP KITCH",35.474183,-79.1711,37105
"God's City of Refuge, Inc.","953 Hibbs Road","Newport","NC","28570-1838","FOODPANTRY",34.749455,-76.878284,37031
"Victory Chapel","2720 Poole Rd","Raleigh","NC","27610","MOBILE FP",35.77212,-78.597654,37183
"Cameron Girls Camp","676 Hight Road","Aberdeen","NC","28315","GROUP HOME",35.10678,-79.41523,37125
"Wildwood Presbyterian Church","276 Wildwood Road","Newport","NC","28570","FOODPANTRY",34.7489,-76.825446,37031
"Second Chance Mission Of Hope","309 Court Street","Jacksonville","NC","28540","FOODPANTRY",34.747128,-77.43222,37133
"Second Chance Mission Of Hope","309 Court Street","Jacksonville","NC","28540","SHELTER",34.747128,-77.43222,37133
"House of Fordham/Goldsboro","412 North William Street","Goldsboro","NC","27530","FOODPANTRY",35.386207,-77.991857,37191
"House of Fordham","500 North. William Street","Goldsboro","NC","27530","SHELTER",35.387361,-77.991439,37191
"Lifeline Outreach/Henderson","2014 Raleigh Road","Henderson","NC","27536","FOODPANTRY",36.302949,-78.407652,37181
"Church of God of Prophecy","5005 Western Bvd","Raleigh","NC","27606","DAY CARE",35.786498,-78.709263,37183
"Regeneration Development","107 NE First Street","Pinetops","NC","27864","MOBILE FP",35.791128,-77.637378,37065
"Regeneration Development","107 N.E. 1st Street","Pinetops","NC","27864","OTHER",35.791128,-77.637378,37065
"Regeneration Development","107 N.E. 1st Street","Pinetops","NC","27864","FOODPANTRY",35.791128,-77.637378,37065
"Salvation Army-New Bern","503 Guion Street","New Bern","NC","28563","SOUP KITCH",35.115763,-77.045337,37049
"St. Peter's Development Center","1295 East Mumford Road","Greenville","NC","27834","AFTER SCH",35.627601,-77.35489,37147
"NEEDS Center","6742 E. Wilson Street","Fountain","NC","27829","FOODPANTRY",35.674076,-77.639701,37147
"NEEDS Center","6742 E. Wilson Street","Fountain","NC","27829","AFTER SCH",35.674076,-77.639701,37147
"ADLA, Inc.","612 South Breazeale Avenue","Mount Olive","NC","28365","SOUP KITCH",35.18997,-78.074971,37191
"ADLA, Inc.","612 South Breazeale Avenue","Mount Olive","NC","28365","AFTER SCH",35.18997,-78.074971,37191
"Tarboro Community Outreach","701 Cedar Lane","Tarboro","NC","27886","MOBILE FP",35.896156,-77.540154,37065
"Tarboro Community Outreach","701 Cedar Lane","Tarboro","NC","27886","SOUP KITCH",35.896156,-77.540154,37065
"Tarboro Community Outreach","701 Cedar Lane","Tarboro","NC","27886","SHELTER",35.896156,-77.540154,37065
"Tarboro Community Outreach","701 Cedar Lane","Tarboro","NC","27886","FOODPANTRY",35.896156,-77.540154,37065
"Salvation Army-Goldsboro","610 N. William Street","Goldsboro","NC","27530","FOODPANTRY",35.388772,-77.990768,37191
"Salvation Army-Goldsboro","610 N. William Street","Goldsboro","NC","27530","SHELTER",35.388772,-77.990768,37191
"Concerned Citizens Of Tillery","321 Community Center Road","Tillery","NC","27887","FOODPANTRY",35.954571,-77.938682,37127
"Concerned Citizens Of Tillery","321 Community Center Road","Tillery","NC","27887","SOUP KITCH",35.954571,-77.938682,37127
"Wilson County Interfaith/","311 Nash Street","Wilson","NC","27893","MOBILE FP",35.724086,-77.909256,37195
"Wilson County Interfaith/","309 Goldsboro Street","Wilson","NC","27893","SHELTER",35.715559,-77.924015,37195
"Wilson County Interfaith/","309 Goldsboro Street","Wilson","NC","27893","FOODPANTRY",35.715559,-77.924015,37195
"Temple Emmanuel","8 Sycamore Street","Weldon","NC","27890","SOUP KITCH",36.4283,-77.594584,37083
"People Living in All","3181 Highway 70W","Smithfield","NC","27520","FOODPANTRY",35.5656,-78.337314,37101
"People Living in All","3181 Highway 70W","Smithfield","NC","27520","GROUP HOME",35.5656,-78.337314,37101
"Sure Promise Chritian Church","4301 Pearl Rd.","Raleigh","NC","27610","DAY CARE",35.723908,-78.561211,37183
"Greater Word of Life","114 East Hamlet Street","Pinetops","NC","27864","ELDERLY NU",35.788924,-77.632003,37065
"Greater Word of Life","114 East Hamlet Street","Pinetops","NC","27864","FOODPANTRY",35.788924,-77.632003,37065
"Third Street Community Center","600 West Third Street","Greenville","NC","27834","OTHER",35.61446,-77.379646,37147
"Middlesex Church of God","5407 South NC 231","Middlesex","NC","27557","SENIOR OFF",35.739921,-78.256624,37127
"Faith Developmental Community","655 Sussex Street","Kinston","NC","28501","AFTER SCH",34.785897,-77.434703,37133
