name,address,city,state,zip_code,program_code,lat,lng,fips_county,GoogleLat,GoogleLon,GoogleCounty,GoogleZip,GoogleZip+4,zipmatch,CountyMatch,fips_county_name
Christian Faith Center,101 Peachtree Street,Creedmoor,NC,27522,FOODPANTRY,36.118007,-78.677307,37077,36.117197,-78.6766684,Granville,27522,,TRUE,TRUE,
Salvation Army-Rocky Mount,420 Paul Street,Rocky Mount,NC,27802,FOODPANTRY,35.928899,-77.806581,37127,35.9290614,-77.8072002,Nash,27803,3541,FALSE,TRUE,
Martha's Mission Cupboard,901 Bay Street,Morehead City,NC,28557,FOODPANTRY,34.724052,-76.713745,37031,34.7239518,-76.7140445,Carteret,28557,3827,TRUE,TRUE,
Sandhills - Moore Coalition,1500 West Indiana Ave,Southern Pines,NC,28387,FOODPANTRY,35.186101,-79.409114,37125,35.186284,-79.409895,Moore,28387,3830,TRUE,TRUE,
S.A.F.E. Lenoir County,confidential,Kinston,NC,NA,SHELTER,NA,NA,NA,,,,,,FALSE,,
Graham Ave. Group Home,1642 Graham Avenue,Henderson,NC,27536,GROUP HOME,36.326546,-78.441209,37181,36.329103,-78.4382576,Vance,27536,2914,TRUE,TRUE,
Vance-Adult Group Home,941 Hwy. 158 BYP,Henderson,NC,27536,GROUP HOME,36.336501,-78.451535,37181,36.335141,-78.457523,Vance,27536,,TRUE,TRUE,
Roanoke Ave. Group Home,264 S. Beckford Drive,Henderson,NC,27536,GROUP HOME,36.337526,-78.414365,37181,36.3371341,-78.4172206,Vance,27536,,TRUE,TRUE,
Warren County Group Home,109 Mustian Road,Warrenton,NC,27589,GROUP HOME,36.416369,-78.218084,37185,36.4163743,-78.2170087,Warren,27563,,FALSE,TRUE,
Franklin County Group Home,663 Moulton Road,Louisburg,NC,27549,GROUP HOME,36.148906,-78.279567,37069,36.149311,-78.279856,Franklin,27549,7753,TRUE,TRUE,
Oxford Group Home,605 N. Country Club Drive,Oxford,NC,27565,GROUP HOME,36.317163,-78.607168,37077,36.316626,-78.607598,Granville,27565,2848,TRUE,TRUE,
Cameron Boys' Camp / Baptist,255 Cameron Camp Rd.,Cameron,NC,28326,GROUP HOME,35.285136,-79.223249,37125,35.287491,-79.22668,Moore,28326,,TRUE,TRUE,
Wallace Church of God,1173 Bay Road,Teachey,NC,28464,FOODPANTRY,34.78201,-77.995109,37061,34.779229,-77.997572,Duplin,28464,9501,TRUE,TRUE,
Passage Home/Matthew House,1513 Branch Street,Raleigh,NC,27601,OTHER,35.763542,-78.639787,37183,35.7110858,-78.5164992,Wake,27610,,FALSE,TRUE,
Harvest House/TCCHC,1480 Maple Grove Church Road,Dunn,NC,28334,GROUP HOME,35.240385,-78.450559,37085,35.240842,-78.4515459,Sampson,28334,7692,TRUE,FALSE,Harnett
Church of God of Prophecy,628 Scott Avenue,Sanford,NC,27330,DAY CARE,35.482233,-79.158532,37105,35.482771,-79.157929,Lee,27330,4662,TRUE,TRUE,
Church of God of Prophecy,900 Simmons Street,Durham,NC,27701,FOODPANTRY,35.981908,-78.894151,37063,35.9814722,-78.8943012,Durham,27701,4338,TRUE,TRUE,
Resources For Seniors/NWSC,235 E. Holding Avenue,Wake Forest,NC,27591,ELDERLY NU,35.779063,-78.373694,37183,35.9716533,-78.5112664,Wake,27587,2927,FALSE,TRUE,
Robbins Area Christian,120 S. Middleton Street,Robbins,NC,27325,FOODPANTRY,35.433732,-79.58729,37125,35.4338817,-79.5869792,Moore,27325,8411,TRUE,TRUE,
First Assembly of God Church,3000 Summit Road,Goldsboro,NC,27534-8701,FOODPANTRY,35.371921,-77.933598,37191,35.3753659,-77.9359165,Wayne,27534,8701,FALSE,TRUE,
Christian Life Home,Confidential,,NC,NA,GROUP HOME,NA,NA,NA,,,,,,FALSE,,
New Zion Ame Zion Church,4967 Highway 705,Robbins,NC,27325,FOODPANTRY,35.454261,-79.603404,37125,35.453671,-79.601462,Moore,27325,8264,TRUE,TRUE,
Chatham Out-Reach Alliance,40 Camp Dr.,Pittsboro,NC,27312,FOODPANTRY,35.72436,-79.186719,37037,35.7240567,-79.1861827,Chatham,27312,5602,TRUE,TRUE,
New Jerusalem Pentecostal,305 Madison Street,Rocky Mount,NC,27802,FOODPANTRY,35.941563,-77.789249,37065,35.941708,-77.7888059,Edgecombe,27801,,FALSE,TRUE,
Bread Basket/Sanford Soup,140 East Chisholm Street,Sanford,NC,27331,SOUP KITCH,35.48607,-79.177905,37105,35.485863,-79.178117,Lee,27330,3650,FALSE,TRUE,
Mt. Zion UCC/Rockingham,986 Ledbetter Road,Rockingham,NC,28379,FOODPANTRY,35.002881,-79.688643,37153,35.002695,-79.688368,Richmond,28379,7708,TRUE,TRUE,
Christian Assembly Emergency,5516 N. Roxboro Road,Durham,NC,27713,FOODPANTRY,35.927259,-78.951652,37063,36.0914942,-78.9101076,Durham,27712,1424,FALSE,TRUE,
Kennedy Baptist Children's,2557 Cedar Dell Lane,Kinston,NC,28504,GROUP HOME,35.255291,-77.694694,37107,35.2547179,-77.694255,Lenoir,28504,9113,TRUE,TRUE,
Chatham County Group Homes 1,320 Martin Luther King Blvd.,Siler City,NC,27344,GROUP HOME,35.728189,-79.462308,37037,35.7281509,-79.46194,Chatham,27344,,TRUE,TRUE,
First Calvary Baptist Church,1311 Morehead Ave.,Durham,NC,27707,FOODPANTRY,35.991806,-78.918909,37063,35.991664,-78.9193478,Durham,27707,1253,TRUE,TRUE,
Flynn Home Of Goldsboro,409 North George St.,Goldsboro,NC,27530,GROUP HOME,35.388068,-77.998557,37191,35.388739,-77.998659,Wayne,27530,2723,TRUE,TRUE,
Fellowship Home,506 Cutler Street,Raleigh,NC,27603,GROUP HOME,35.774447,-78.652191,37183,35.7741026,-78.6522323,Wake,27603,2136,TRUE,TRUE,
Montgomery Churches in Action,203 Church St.,Biscoe,NC,27209,FOODPANTRY,35.358604,-79.7789,37123,35.358902,-79.778377,Montgomery,27209,,TRUE,TRUE,
Russell Memorial CME Church,703 S. Alston Avenue,Durham,NC,27701,FOODPANTRY,35.980184,-78.891357,37063,35.9799417,-78.8910421,Durham,27701,4303,TRUE,TRUE,
Mt. Zion Christian Church,3519 Fayetteville Street,Durham,NC,27707,FOODPANTRY,35.977922,-78.90043,37063,35.9563817,-78.9066987,Durham,27707,4714,TRUE,TRUE,
Belton Creek Baptist Church,4153 Hwy 96 South,Oxford,NC,27565,FOODPANTRY,36.404618,-78.685721,37077,36.281652,-78.5736634,Granville,27565,,TRUE,TRUE,
Ministries The Bread Of Life,925 Tyson Chapel Road,Farmville,NC,27828,FOODPANTRY,35.541573,-77.619474,37147,35.539433,-77.619759,Greene,27828,9681,TRUE,FALSE,Pitt
Church Of God Of Prophecy,5005 Western Blvd.,Raleigh,NC,27606,FOODPANTRY,35.786498,-78.709263,37183,35.78566,-78.709017,Wake,27606,1751,TRUE,TRUE,
Big Ruin Creek Baptist,16 Big Ruin Creek Lane,Henderson,NC,27536,FOODPANTRY,36.316137,-78.456654,37181,36.3569747,-78.4826504,Vance,27537,,FALSE,TRUE,
First Pentecostal Church,2008 W. Carver Street,Durham,NC,27705,FOODPANTRY,36.040191,-78.916747,37063,36.0404645,-78.9169327,Durham,27705,2709,TRUE,TRUE,
Greater Pentecostal F.D.,414 Rose Lane,Raleigh,NC,27610,FOODPANTRY,35.771001,-78.598497,37183,35.771456,-78.599219,Wake,27610,3645,TRUE,TRUE,
Habakkuk Outreach Center,304 East Barbee Ave,Zebulon,NC,27597,FOODPANTRY,35.821349,-78.308693,37183,35.821116,-78.3081629,Wake,27597,2814,TRUE,TRUE,
FirstHealth Hospice,251 Camp Ground Road,West End,NC,28374,OTHER,34.981252,-79.05726,37051,35.227902,-79.44831,Moore,27376,8987,FALSE,FALSE,Cumberland
Freedom House,104 New Stateside Drive,Chapel Hill,NC,27516,GROUP HOME,35.955719,-79.060214,37135,35.9558929,-79.0603042,Orange,27516,,TRUE,TRUE,
Port Human Services,204 N. Pine Street,Aberdeen,NC,28315,GROUP HOME,35.131834,-79.424686,37125,35.132137,-79.424223,Moore,28315,2732,TRUE,TRUE,
Salvation Army-New Bern,1402 Rhem Avenue,New Bern,NC,28560,FOODPANTRY,35.106342,-77.057168,37049,35.1064398,-77.0575916,Craven,28560,,TRUE,TRUE,
Elmore Blackley Fellowship,110 South Layton Avenue,Dunn,NC,28334,GROUP HOME,35.310064,-78.613668,37085,35.309565,-78.614345,Harnett,28334,4837,TRUE,TRUE,
Haven House (Wrenn),908 W. Morgan St.,Raleigh,NC,27603,SHELTER,35.78139,-78.655585,37183,35.7813025,-78.6553921,Wake,27603,1512,TRUE,TRUE,
Alliance of AIDS Services,1637 Old Louisburg Rd,Raleigh,NC,27604,FOODPANTRY,35.80269,-78.623429,37183,35.8028751,-78.6229511,Wake,27604,1376,TRUE,TRUE,
Calvary Baptist Church,1204 Lynn Road,Durham,NC,27703,FOODPANTRY,35.969972,-78.849194,37063,35.9700358,-78.850002,Durham,27703,5116,TRUE,TRUE,
Friend to Friend,CONFIDENTIAL,,NC,NA,SHELTER,NA,NA,NA,,,,,,FALSE,,
Poplar Springs Christian,6115 Old Stage Road,Raleigh,NC,27603,FOODPANTRY,35.696061,-78.653074,37183,35.6965005,-78.6528409,Wake,27603,4727,TRUE,TRUE,
West End United Methodist,4105 NC Hwy 73,West End,NC,27376,FOODPANTRY,35.24001,-79.567191,37125,35.2522043,-79.5181992,Moore,27376,,TRUE,TRUE,
The Worship Center,150 Eastman Road,Southern Pines,NC,28387,FOODPANTRY,35.190766,-79.408318,37125,35.191282,-79.410085,Moore,28387,3002,TRUE,TRUE,
Chapel of Jesus Christ,2295 North Horace Walter Rd,Raeford,NC,28376,DAY CARE,35.000312,-79.359461,37093,35.006386,-79.358705,Hoke,28376,7587,TRUE,TRUE,
Fountain of Hope,900 Wilkins Street,Rocky Mount,NC,27803,FOODPANTRY,35.927101,-77.819582,37127,35.927177,-77.819118,Nash,27803,3820,TRUE,TRUE,
Potter's Wheel Ministries,147 Faith Lane,Mount Olive,NC,28365,GROUP HOME,35.072602,-77.919863,37191,35.0725174,-77.9184831,Duplin,28365,5396,TRUE,FALSE,Wayne
Islamic Association of Raleigh,3020 Ligon St,Raleigh,NC,27607,FOODPANTRY,35.789188,-78.691146,37183,35.7894007,-78.6919989,Wake,27607,5308,TRUE,TRUE,
Alston Chapel United Holy Ch,2012 Alston Chapel Road,Pittsboro,NC,27312,FOODPANTRY,35.708409,-79.224276,37037,35.708695,-79.2245669,Chatham,27312,9016,TRUE,TRUE,
Friends of Orange County DSS,113 Mayo Street,Hillsborough,NC,27278,OTHER,36.062,-79.105359,37135,36.0601639,-79.1063264,Orange,27278,,TRUE,TRUE,
Bethesda Presbyterian Church,1002 N. Sandhills Boulevard,Aberdeen,NC,28315,FOODPANTRY,35.143192,-79.422891,37125,35.145686,-79.419754,Moore,28315,2533,TRUE,TRUE,
Resources For Seniors,323 Lake Drive,Wendell,NC,27591,ELDERLY NU,35.778599,-78.365345,37183,35.778928,-78.365492,Wake,27591,9492,TRUE,TRUE,
Resources For Seniors,1210 Dixie Trail,Raleigh,NC,27607,ELDERLY NU,35.803692,-78.676874,37183,35.8034598,-78.676036,Wake,27607,6842,TRUE,TRUE,
Apostolic Faith Church,300 Cedar Street,Rocky Mount,NC,27803,FOODPANTRY,35.91872,-77.808638,37127,35.91897,-77.808749,Nash,27803,4813,TRUE,TRUE,
Chatham County Group Homes 2,1011 West Fifth Street,Siler City,NC,27344,GROUP HOME,35.722023,-79.477635,37037,35.721924,-79.4768579,Chatham,27344,3010,TRUE,TRUE,
Southern Mission Ministries,267 Blues Bridge Rd,Hoffman,NC,28347,FOODPANTRY,35.030411,-79.540775,37153,35.030111,-79.535132,Richmond,28347,8903,TRUE,TRUE,
Outreach for Jesus,440 Battley Dairy Road,Hamlet,NC,28345,FOODPANTRY,34.876764,-79.740369,37153,34.875312,-79.743512,Richmond,28379,,FALSE,TRUE,
"CAARE, Inc.",214 Broadway Street,Durham,NC,27701,FOODPANTRY,36.000862,-78.898031,37063,36.0012349,-78.8987643,Durham,27701,2404,TRUE,TRUE,
Cotton Memorial Presbyterian,511 N. Chestnut Street,Henderson,NC,27536,FOODPANTRY,36.331311,-78.40102,37181,36.3322542,-78.3994353,Vance,27536,,TRUE,TRUE,
Housing for New Hope,1406 Holloway Street,Durham,NC,27703,GROUP HOME,35.995875,-78.897983,37063,35.9941021,-78.8761625,Durham,27703,,TRUE,TRUE,
Immanuel Temple SDA Church,2102 S Alston Avenue,Durham,NC,27701,SOUP KITCH,35.973822,-78.893912,37063,35.960641,-78.888681,Durham,27707,4412,FALSE,TRUE,
Glad Tidings Gospel Church,4422 301 South,Wilson,NC,27893,FOODPANTRY,35.722437,-77.911987,37195,35.666935,-77.961894,Wilson,27893,,TRUE,TRUE,
Calvary Temple Holy Church,215 Kitchen Avenue,Henderson,NC,27536,FOODPANTRY,36.344814,-78.394764,37181,36.344794,-78.3948806,Vance,27536,2728,TRUE,TRUE,
Southlight Supervised,1822 Gorman St. Apt D,Raleigh,NC,27610,OTHER,35.763508,-78.607179,37183,35.7742407,-78.6908482,Wake,27606,,FALSE,TRUE,
First Baptist Church,119 S. Main Street,Creedmoor,NC,27522,FOODPANTRY,36.116573,-78.686981,37077,36.1179795,-78.6867473,Granville,27522,,TRUE,TRUE,
New Life Praise Church,2398 Wicker Street,Sanford,NC,27330,FOODPANTRY,35.470469,-79.200295,37105,35.4705582,-79.2002226,Lee,27330,7697,TRUE,TRUE,
Adopted Agencies/Food Bank NC,,,,NA,OTHER,NA,NA,NA,,,,,,FALSE,,
Chatham County Group Homes 3,813 Tanglewood Drive,Siler City,NC,27344,GROUP HOME,35.731307,-79.476913,37037,35.730486,-79.478986,Chatham,27344,2327,TRUE,TRUE,
Recruiters for Christ Church,931 Red Hill Church Road,Dunn,NC,28334,FOODPANTRY,35.337985,-78.649007,37085,35.33837,-78.648934,Harnett,28334,5951,TRUE,TRUE,
Inter-Community Council,600 Tucker St.,Raleigh,NC,27603,OTHER,35.786268,-78.647266,37183,35.786283,-78.6472975,Wake,27603,1232,TRUE,TRUE,
Mt. Zion Christian Church,995 Burr Street,Henderson,NC,27536,FOODPANTRY,36.336083,-78.391916,37181,36.3360275,-78.3918515,Vance,27536,,TRUE,TRUE,
Antioch United Holy Church,2659 Railroad Street,Bell Arthur,NC,27811,FOODPANTRY,35.58965,-77.514537,37147,35.5895032,-77.5151187,Pitt,27828,,FALSE,TRUE,
The Ship Outreach & Comm Cntr,105 E. Lee St.,Raleigh,NC,27603,FOODPANTRY,35.767215,-78.638418,37183,35.76735,-78.638521,Wake,27601,2673,FALSE,TRUE,
Salvation Army Boys&Girls Club,810 N. Alston Ave.,Durham,NC,27702,AFTER SCH,35.992817,-78.88595,37063,35.9932357,-78.8857889,Durham,27701,,FALSE,TRUE,
"The Wright's Center, Inc.",513 West Raleigh Road,Rocky Mount,NC,27803,ELDERLY NU,35.935364,-77.805897,37127,35.9353781,-77.8049446,Nash,27803,,TRUE,TRUE,
New Life Community Church,3115 Crittenden Lane,Holly Springs,NC,27540,FOODPANTRY,35.681902,-78.833282,37183,35.6818734,-78.8333076,Wake,27540,,TRUE,TRUE,
Victorious Community,2116 Page Road,Durham,NC,27703,FOODPANTRY,35.934327,-78.821387,37063,35.9294025,-78.8146152,Durham,27703,8919,TRUE,TRUE,
Pee Dee Baptist Association,1219 Rockingham Rd #5,Rockingham,NC,28380,FOODPANTRY,34.934529,-79.771448,37153,34.922545,-79.7500869,Richmond,28379,,FALSE,TRUE,
Youth Life Learning Center,2519 S. Roxboro St#9,DURHAM,NC,27707,AFTER SCH,35.966547,-78.916789,37063,35.9659999,-78.917127,Durham,27707,,TRUE,TRUE,
Orange Co Head Start/Early HS,"800 Eastowne Dr., Suite 105",Chapel Hill,NC,27514,DAY CARE,35.951465,-79.005343,37135,35.9504421,-79.0060334,Orange,27514,,TRUE,TRUE,
Occoneechee Council/BSA,4637 Old Carthage Rd.,Carthage,NC,28327,SEASONAL,35.352009,-79.573871,37125,35.3421553,-79.5534724,Moore,28327,8363,TRUE,TRUE,
Durham Rescue Mission's,507 E. Knox St.,Durham,NC,27701,SHELTER,36.012479,-78.886772,37063,36.0133191,-78.8855899,Durham,27701,1438,TRUE,TRUE,
Positive Directions,Jacksontown Road,Manson,NC,27553,FOODPANTRY,36.409092,-78.327375,37185,36.4435656,-78.3171194,,27553,,TRUE,FALSE,Warren
Word of Life Christian Center,704 Franklin Street,Roxboro,NC,27573,FOODPANTRY,36.383682,-78.992998,37145,36.3835154,-78.9929005,Person,27573,5829,TRUE,TRUE,
Community Helpers Services,111-B N. First St.,Knightdale,NC,27545,FOODPANTRY,35.787766,-78.481499,37183,35.7878516,-78.4813818,Wake,27545,8094,TRUE,TRUE,
Warren Street Group Home,200 Warren Street,Warrenton,NC,27589,GROUP HOME,36.40471,-78.153635,37185,36.4046827,-78.1510999,Warren,27589,,TRUE,TRUE,
Loaves and Fishes Ministries,538 West Ridgeway Street,Warrenton,NC,27589,FOODPANTRY,36.405985,-78.163003,37185,36.4057813,-78.1632407,Warren,27589,1716,TRUE,TRUE,
Kings Gate International,158 Sierra Ave.,Hamlet,NC,28345,FOODPANTRY,34.910757,-79.71886,37153,34.9104749,-79.7189109,Richmond,28345,,TRUE,TRUE,
Haw River Baptist Church,1099 Mt. Gilead Church Road,Pittsboro,NC,27312,FOODPANTRY,35.752744,-79.086161,37037,35.756196,-79.085573,Chatham,27312,7422,TRUE,TRUE,
Urban Ministries of Durham,410 Liberty Street,Durham,NC,27701,SOUP KITCH,35.993479,-78.895467,37063,35.993452,-78.895867,Durham,27701,3408,TRUE,TRUE,
William Hawkins Yth Ministries,500 N Beckford Dr.,Henderson,NC,27536,AFTER SCH,36.337358,-78.403154,37181,36.3373437,-78.4030702,Vance,27536,,TRUE,TRUE,
White Oak Ecumenical,724 West Corbett Avenue,Swansboro,NC,28584,FOODPANTRY,34.693973,-77.131462,37133,34.695009,-77.132449,Onslow,28584,8452,TRUE,TRUE,
Restoring Hope Center,507 Warren Street,Laurinburg,NC,28352,FOODPANTRY,34.789214,-79.450026,37165,34.789248,-79.449787,Scotland,28352,2747,TRUE,TRUE,
New Foundations Group Home,199 W. Washington St.,Bethel,NC,27812,GROUP HOME,35.806582,-77.377139,37147,35.806345,-77.37741,Pitt,27812,9497,TRUE,TRUE,
Onslow Community Ministries,600 Court Street,Jacksonville,NC,28540,SOUP KITCH,34.749939,-77.431305,37133,34.7500475,-77.4310571,Onslow,28540,4752,TRUE,TRUE,
Onslow Community Ministries,600 Court Street,Jacksonville,NC,28540,SHELTER,34.749939,-77.431305,37133,34.7500475,-77.4310571,Onslow,28540,4752,TRUE,TRUE,
Pete Norris Ministries Inc.,126 W. Walnut Street, Goldsboro,NC,27533,FOODPANTRY,35.383153,-77.997602,37191,35.3833972,-77.998288,Wayne,27530,3651,FALSE,TRUE,
Abundant Life Miracle Center,1901 Garden Street,New Bern,NC,28560,MOBILE FP,35.119067,-77.05863,37049,35.119116,-77.059004,Craven,28560,3539,TRUE,TRUE,
Abundant Life Miracle Center,1303 Beaufort Street,New Bern,NC,28560,FOODPANTRY,35.119535,-77.059078,37049,35.119299,-77.059263,Craven,28560,3505,TRUE,TRUE,
Kings Church International,158 Sierra Avenue,Hamlet,NC,28345,SENIOR ON,34.910757,-79.71886,37153,34.9104749,-79.7189109,Richmond,28345,,TRUE,TRUE,
Body of Christ Ministry,6081 Lemon Springs Road,Sanford,NC,27330,FOODPANTRY,35.485386,-79.221276,37105,35.401584,-79.182975,Lee,27332,6972,FALSE,TRUE,
Urban Ministries Food Pantry,410 Liberty Street,Durham,NC,27701,FOODPANTRY,35.993479,-78.895467,37063,35.993452,-78.895867,Durham,27701,3408,TRUE,TRUE,
DD-Pentecostal Victory Temple,18074 Highway 64 West,Siler City,NC,27344,FOODPANTRY,35.733959,-79.495459,37037,35.735197,-79.495699,Chatham,27344,1633,TRUE,TRUE,
Pentecostal Victory Temple,18074 Highway 64 West,Siler City,NC,27344,OTHER,35.733959,-79.495459,37037,35.735197,-79.495699,Chatham,27344,1633,TRUE,TRUE,
White Oak Ecuminical Outreach,724 West Corbett Avenue,Swansboro,NC,28584,MOBILE FP,34.693973,-77.131462,37133,34.695009,-77.132449,Onslow,28584,8452,TRUE,TRUE,
Christian Mission Center,703 Monroe Street,Carthage,NC,28327,FOODPANTRY,35.341279,-79.408718,37125,35.341372,-79.408032,Moore,28327,,TRUE,TRUE,
Christian Mission Center,703 Monroe Street,Carthage,NC,28327,OTHER,35.341279,-79.408718,37125,35.341372,-79.408032,Moore,28327,,TRUE,TRUE,
Bread of Life/Grifton,406 Cannon Blvd.,Grifton,NC,28530,FOODPANTRY,35.373406,-77.430184,37147,35.3738962,-77.4308985,Pitt,28530,8842,TRUE,TRUE,
Bread of Life/Grifton,406 Cannon Blvd.,Grifton,NC,28530,MOBILE FP,35.373406,-77.430184,37147,35.3738962,-77.4308985,Pitt,28530,8842,TRUE,TRUE,
Living Bread Holiness Church,1116 Glenburnie Road,New Bern,NC,28561,MOBILE FP,35.136723,-77.062742,37049,35.1259587,-77.0852166,Craven,28562,,FALSE,TRUE,
"God's City of Refuge, Inc.",953 Hibbs Road,Newport,NC,28570-1838,MOBILE FP,34.749455,-76.878284,37031,34.748907,-76.875966,Carteret,28570,9127,FALSE,TRUE,
The Anointed Ones Church,4271 N. Edge Road,Ayden,NC,28513,MOBILE FP,35.468232,-77.407662,37147,35.467463,-77.4070519,Pitt,28513,7185,TRUE,TRUE,
The Anointed Ones Church,4271 N. Edge Road,Ayden,NC,28513,FOODPANTRY,35.468232,-77.407662,37147,35.467463,-77.4070519,Pitt,28513,7185,TRUE,TRUE,
Hands for Humanity CDC,1009 E. Bright Street,Kinston,NC,28501,FOODPANTRY,35.257061,-77.567243,37107,35.256864,-77.566507,Lenoir,28501,5719,TRUE,TRUE,
Hands for Humanity CDC,1009 E. Bright Street,Kinston,NC,28501,MOBILE FP,35.257061,-77.567243,37107,35.256864,-77.566507,Lenoir,28501,5719,TRUE,TRUE,
Saints Delight Church of God,327 Crawford Street,Bethel,NC,27812,FOODPANTRY,35.802557,-77.378045,37147,35.802479,-77.377123,Pitt,27812,,TRUE,TRUE,
Antioch United Holy Church,2659 Railroad Street,Bell Arthur,NC,27811,AFTER SCH,35.58965,-77.514537,37147,35.5895032,-77.5151187,Pitt,27828,,FALSE,TRUE,
Antioch United Holy Church,2659 Railroad Street,Bell Arthur,NC,27811,DAY CARE,35.58965,-77.514537,37147,35.5895032,-77.5151187,Pitt,27828,,FALSE,TRUE,
Antioch United Holy Church,2659 Railroad Street,Bell Arthur,NC,27811,MOBILE FP,35.58965,-77.514537,37147,35.5895032,-77.5151187,Pitt,27828,,FALSE,TRUE,
Koinonia Christian Center,1405 SW Greenville BLVD.,Greenville,NC,27835,MOBILE FP,35.574726,-77.418973,37147,35.570402,-77.420141,Pitt,27834,7025,FALSE,TRUE,
Koinonia Christian Center,1405 SW Greenville Blvd.,Greenville,NC,27835,FOODPANTRY,35.574726,-77.418973,37147,35.570402,-77.420141,Pitt,27834,7025,FALSE,TRUE,
Oak Grove UAFree Will Baptist,1008A Simmons St.,Durham,NC,27701,FOODPANTRY,35.981717,-78.893099,37063,35.9815866,-78.8926088,Durham,27701,4340,TRUE,TRUE,
Alpha and Omega Church,410 E. Washington St.,Kinston,NC,28501,MOBILE FP,35.266196,-77.566876,37107,35.3024571,-77.7821798,Lenoir,28551,4463,FALSE,TRUE,
Alpha and Omega Church,401 E. Washington St.,Kinston,NC,28501,FOODPANTRY,35.266196,-77.566876,37107,35.3026376,-77.7825212,Lenoir,28551,4462,FALSE,TRUE,
Trinity United Faith Center,110 S. State Street,Raleigh,NC,27601,FOODPANTRY,35.778694,-78.623669,37183,35.7785036,-78.6238304,Wake,27601,1646,TRUE,TRUE,
Richmond County Enrichment,809 Armistead Street,Rockingham,NC,28379,DIRECT DST,34.937411,-79.763472,37153,34.937499,-79.763523,Richmond,28379,,TRUE,TRUE,
Straightway Church,627 Boulevard Street,Ayden,NC,28513,FOODPANTRY,35.469302,-77.410249,37147,35.4694987,-77.4109065,Pitt,28513,7186,TRUE,TRUE,
Straightway Church,627 Boulevard Street,Ayden,NC,28513,AFTER SCH,35.469302,-77.410249,37147,35.4694987,-77.4109065,Pitt,28513,7186,TRUE,TRUE,
Word of Life International,"1600 Howard Avenue, Suite 2",Tarboro,NC,27886,FOODPANTRY,35.902718,-77.552297,37065,35.9008777,-77.5625728,Edgecombe,27886,,TRUE,TRUE,
Word of Life International,"1600 Howard Avenue, Suite 2",Tarboro,NC,27886,MOBILE FP,35.902718,-77.552297,37065,35.9008777,-77.5625728,Edgecombe,27886,,TRUE,TRUE,
Onslow Community Ministries,600 Court Street,Jacksonville,NC,28540,FOODPANTRY,34.749939,-77.431305,37133,34.7500475,-77.4310571,Onslow,28540,4752,TRUE,TRUE,
The Women's Center of Wake Co.,112 Cox Ave.,Raleigh,NC,27605,FOODPANTRY,35.785163,-78.66067,37183,35.7843469,-78.661013,Wake,27605,1817,TRUE,TRUE,
The Women's Center of Wake Co.,112 Cox Ave.,Raleigh,NC,27601,SHELTER,35.781006,-78.62809,37183,35.7843469,-78.661013,Wake,27605,1817,FALSE,TRUE,
Cary Church of God,107 Quade Drive,Cary,NC,27511,FOODPANTRY,35.817783,-78.802249,37183,35.8168768,-78.8035841,Wake,27513,7401,FALSE,TRUE,
Missions Ministries,1200 S. Caledonia Road,Laurinburg,NC,28352,FOODPANTRY,34.760867,-79.459003,37165,34.7608378,-79.4589628,Scotland,28352,4844,TRUE,TRUE,
Haven House (Outreach Center),832 Wake Forest Rd,Raleigh,NC,27604,FOODPANTRY,35.791228,-78.633454,37183,35.7917,-78.632567,Wake,27604,1220,TRUE,TRUE,
House of Prayer/Feed My People,335 Earl Franklin Drive,Hamlet,NC,28345,FOODPANTRY,34.906641,-79.688447,37153,34.90758,-79.687275,Richmond,28345,,TRUE,TRUE,
Shiloh Christian,211 Durham St,Smithfield,NC,27577-1766,FOODPANTRY,NA,NA,NA,35.504769,-78.33589,Johnston,27577,4911,FALSE,,
Shiloh Christian,211 Durham Street,Smithfield,NC,27577,SOUP KITCH,35.505669,-78.335972,37101,35.504769,-78.33589,Johnston,27577,4911,TRUE,TRUE,
First Born Comm.,Chicod Street,Grimesland,NC,27837,FOODPANTRY,35.564678,-77.191187,37147,35.5611296,-77.1933663,Pitt,27837,,TRUE,TRUE,
Friends of Orange County DSS,306 E. Revere Road,Hillsborough,NC,27278,OTHER,36.082972,-79.105873,37135,36.0829095,-79.1058753,Orange,27278,,TRUE,TRUE,
Friends of Orange County DSS,300 W. Tryon Street,Hillsborough,NC,27278,FOODPANTRY,36.077014,-79.105488,37135,36.0773173,-79.1055005,Orange,27278,,TRUE,TRUE,
Friends of Orange County DSS,300 W. Tryon St.,Hillsborough,NC,27278,FOODPANTRY,36.077014,-79.105488,37135,36.0773173,-79.1055005,Orange,27278,,TRUE,TRUE,
Friends of Orange County DSS,Cedar Grove Northern Center,Cedar Grove,NC,27278,OTHER,36.082828,-79.104421,37135,36.1306242,-80.6834561,Yadkin,27055,,FALSE,FALSE,Orange
"CAARE, Inc.",214 Broadway St.,Durham,NC,27701,SENIOR OFF,36.000862,-78.898031,37063,36.0012349,-78.8987643,Durham,27701,2404,TRUE,TRUE,
Ephesus SDA Church,1217 N. Pasteur Street,New Bern,NC,28560,FOODPANTRY,35.118776,-77.046136,37049,35.1192909,-77.047043,Craven,28560,3271,TRUE,TRUE,
Christian Faith Ministries,3110 Cameron Dr.,Sanford,NC,27330,FOODPANTRY,35.443837,-79.145964,37105,35.442706,-79.145292,Lee,27332,9605,FALSE,TRUE,
